Taxonomy,Field,sub-field
Arts and Humanities,American Studies,"['American Film Studies', 'American Material Culture', 'American Popular Culture', 'Ethnic Studies']"
Arts and Humanities,Classics,"['Ancient History (Greek and Roman through Late Antiquity)', 'Ancient Philosophy', 'Byzantine and Modern Greek', 'Classical Archaeology and Art History', 'Classical Literature and Philology', 'Indo-European Linguistics and Philology']"
Arts and Humanities,Comparative Literature,[]
Arts and Humanities,Educational Research,"['Education Systems and Educational Institutions', 'Educational Research on Socialization, Welfare and Professionalism Research', 'General Education and History of Education', 'General and Domain-Specific Teaching and Learning']"
Arts and Humanities,English Language and Literature,"['Literature in English, Anglophone (other than British Isles and North America)', 'Literature in English, British Isles', 'Literature in English, North America (other than ethnic and minority)', 'Literature in English, North America, ethnic and minority', 'Rhetoric and Composition']"
Arts and Humanities,"Feminist, Gender, and Sexuality Studies",[]
Arts and Humanities,Film Studies,[]
Arts and Humanities,History,"['African', 'Asian', 'Cultural History', 'Diplomatic History', 'Early Modern History', 'European', 'Gender', 'History of Religion', 'History of Science, Technology, and Medicine', 'Intellectual History', 'Islamic World/Near East', 'Latin American', 'Legal', 'Medieval History', 'Military History', 'Modern and Current History', 'Political History', 'Social History', 'United States', 'Women’s History']"
Arts and Humanities,"History of Art, Architecture and Archaeology","['American Art and Architecture', 'Ancient, Medieval, Renaissance, and Baroque Art and Architecture', 'Asian Art and Architecture', 'Contemporary Art', 'Modern Art and Architecture', 'Theory and Criticism']"
Arts and Humanities,"Language, Societies, and Cultures","['African Languages and Societies', 'East Asian Languages and Societies', 'Egyptology and Ancient Near Eastern Studies', 'European Languages and Societies (not elsewhere classified)', 'Latin American Languages and Societies (not elsewhere classified)', 'Near Eastern Languages and Societies', 'Slavic Languages and Societies', 'South and Southeast Asian Languages and Societies']"
Arts and Humanities,Literary Studies,"['American Literature', 'European Literature', 'French and Francophone Language and Literature', 'German Language and Literature', 'Spanish and Portuguese Language and Literature']"
Arts and Humanities,Musicology,"['Art History', 'Composition', 'Ethnomusicology', 'Music Theory', 'Musicology', 'Theatre and Media Studies']"
