Field,no_of_predicate_labels,no_of_data
Microbiology,58,108
Computer Sciences,41,64
Neuroscience and Neurobiology,38,84
Earth Sciences,29,71
Educational Research,26,36
Chemistry,23,31
Computer Engineering,23,27
Information Science,22,24
"Nursing Pharmacology, Toxicology and Environmental Health",14,20
Ecology and Evolutionary Biology,14,15
Astrophysics and Astronomy,10,18
Bioinformatics,10,12
"Operations Research, Systems Engineering and Industrial Engineering",8,8
Sociology,7,8
Linguistics,7,7
Oceanography and Atmospheric Sciences and Meteorology,6,10
Psychology,6,7
Chemical Solid State and Surface Research,5,6
Genetics and Genomics,5,5
History,5,5
Materials Science and Engineering,4,28
Physics,4,17
Immunology and Infectious Disease,4,6
Materials Engineering,4,4
Medicine,4,4
Science and Technology Studies,3,11
Urban Studies and Planning,2,3
Civil and Environmental Engineering,2,2
Computational Engineering,2,2
Economics,2,2
Philosophy,2,2
Public Health,2,2
Water Research,1,2
Agricultural and Resource Economics,1,1
Animal Sciences,1,1
Biomedical Engineering and Bioengineering,1,1
Chemical Engineering,1,1
Communication Sciences,1,1
Entomology Food Science,1,1
Geography,1,1
"Language, Societies, and Cultures",1,1
Nanoscience and Nanotechnology,1,1
Nutrition,1,1
"Public Affairs, Public Policy and Public Administration",1,1
Social and Cultural Anthropology and Ethnology,1,1
Systems Biology,1,1
